modcod,esn0_db,frames,frame_errors,missed,fer,bits,bit_errors,ber,esn0_est_db
0,-3.00,2000,2000,1580,1,430080,116876,0.271754,-3.09
0,-2.50,2000,2000,1187,1,832512,123339,0.148153,-2.20
0,-2.00,2000,1996,955,0.998,1070080,90750,0.0848067,-1.80
0,-1.50,2000,1935,672,0.9675,1359872,47545,0.0349628,-1.31
0,-1.00,2000,1563,415,0.7815,1623040,19451,0.0119843,-0.88
0,-0.50,2000,854,251,0.427,1790976,7008,0.00391295,-0.43
0,0.00,2000,364,150,0.182,1894400,1450,0.000765414,0.05
0,0.50,2000,153,79,0.0765,1967104,406,0.000206395,0.57
0,1.00,2000,62,42,0.031,2004992,73,3.64091e-05,1.06
0,1.50,2000,22,20,0.011,2027520,10,4.93213e-06,1.53
0,2.00,2000,6,6,0.003,2041856,0,0,2.09
0,2.50,2000,1,1,0.0005,2046976,0,0,2.57
0,3.00,2000,0,0,0,2048000,0,0,3.10
0,3.50,2000,0,0,0,2048000,0,0,3.58
0,4.00,2000,2,2,0.001,2045952,0,0,4.10
0,4.50,2000,0,0,0,2048000,0,0,4.59
0,5.00,2000,0,0,0,2048000,0,0,5.10
0,5.50,2000,0,0,0,2048000,0,0,5.57
1,-0.50,2000,2000,289,1,1752064,715138,0.408169,-4.64
1,0.00,2000,2000,179,1,1864704,671754,0.360247,-3.61
1,0.50,2000,2000,91,1,1954816,566835,0.289968,-2.34
1,1.00,2000,1995,48,0.9975,1998848,396946,0.198587,-0.87
1,1.50,2000,1943,22,0.9715,2025472,247273,0.122082,0.19
1,2.00,2000,1519,5,0.7595,2042880,103888,0.0508537,1.45
1,2.50,2000,870,2,0.435,2045952,33072,0.0161646,2.29
1,3.00,2000,354,1,0.177,2046976,15651,0.00764591,2.91
1,3.50,2000,90,0,0.045,2048000,1533,0.000748535,3.54
1,4.00,2000,18,0,0.009,2048000,510,0.000249023,4.04
1,4.50,2000,4,0,0.002,2048000,64,3.125e-05,4.60
1,5.00,2000,0,0,0,2048000,0,0,5.09
1,5.50,2000,0,0,0,2048000,0,0,5.61
1,6.00,2000,0,0,0,2048000,0,0,6.09
2,2.00,2000,2000,12,1,2035712,805069,0.395473,1.80
2,2.50,2000,2000,7,1,2040832,664228,0.325469,2.49
2,3.00,2000,2000,4,1,2043904,474648,0.232226,3.01
2,3.50,2000,1995,0,0.9975,2048000,272357,0.132987,3.59
2,4.00,2000,1891,1,0.9455,2046976,124321,0.060734,4.10
2,4.50,2000,1424,0,0.712,2048000,42722,0.0208604,4.63
2,5.00,2000,723,0,0.3615,2048000,11379,0.00555615,5.12
2,5.50,2000,232,0,0.116,2048000,2537,0.00123877,5.61
2,6.00,2000,69,0,0.0345,2048000,522,0.000254883,6.11
2,6.50,2000,15,0,0.0075,2048000,116,5.66406e-05,6.60
2,7.00,2000,2,0,0.001,2048000,9,4.39453e-06,7.11
2,7.50,2000,1,0,0.0005,2048000,7,3.41797e-06,7.62
2,8.00,2000,0,0,0,2048000,0,0,8.15
2,8.50,2000,0,0,0,2048000,0,0,8.64
2,9.00,2000,0,0,0,2048000,0,0,9.10
3,5.00,2000,2000,0,1,2048000,797988,0.389643,4.04
3,5.50,2000,2000,0,1,2048000,665916,0.325154,4.64
3,6.00,2000,1997,0,0.9985,2048000,507530,0.247817,5.23
3,6.50,2000,1959,0,0.9795,2048000,348207,0.170023,5.84
3,7.00,2000,1704,0,0.852,2048000,218357,0.10662,6.48
3,7.50,2000,1211,0,0.6055,2048000,135615,0.0662183,7.09
3,8.00,2000,703,0,0.3515,2048000,70774,0.0345576,7.78
3,8.50,2000,327,0,0.1635,2048000,34735,0.0169604,8.39
3,9.00,2000,93,0,0.0465,2048000,10067,0.00491553,9.01
3,9.50,2000,21,0,0.0105,2048000,2259,0.00110303,9.57
3,10.00,2000,6,0,0.003,2048000,365,0.000178223,10.09
3,10.50,2000,2,0,0.001,2048000,441,0.000215332,10.58
3,11.00,2000,0,0,0,2048000,0,0,11.11
3,11.50,2000,0,0,0,2048000,0,0,11.61
3,12.00,2000,0,0,0,2048000,0,0,12.08
4,7.50,2000,2000,0,1,2048000,805275,0.393201,7.67
4,8.00,2000,2000,0,1,2048000,654477,0.319569,8.18
4,8.50,2000,1995,0,0.9975,2048000,463949,0.226538,8.67
4,9.00,2000,1927,0,0.9635,2048000,266334,0.130046,9.14
4,9.50,2000,1621,0,0.8105,2048000,117145,0.0571997,9.68
4,10.00,2000,956,0,0.478,2048000,36928,0.0180312,10.19
4,10.50,2000,369,0,0.1845,2048000,9671,0.00472217,10.65
4,11.00,2000,136,0,0.068,2048000,2856,0.00139453,11.15
4,11.50,2000,47,0,0.0235,2048000,634,0.00030957,11.65
4,12.00,2000,6,0,0.003,2048000,75,3.66211e-05,12.13
4,12.50,2000,4,0,0.002,2048000,41,2.00195e-05,12.63
4,13.00,2000,0,0,0,2048000,0,0,13.12
4,13.50,2000,0,0,0,2048000,0,0,13.63
4,14.00,2000,0,0,0,2048000,0,0,14.12
